"Package","Version","Source","GitHubRepo","GitHubUser","GitHubSHA"
"abind","1.4-5","CRAN",NA,NA,NA
"adaHuber","1.1","CRAN",NA,NA,NA
"anytime","0.3.9","CRAN",NA,NA,NA
"askpass","1.2.0","CRAN",NA,NA,NA
"audio","0.1-11","CRAN",NA,NA,NA
"backports","1.5.0","CRAN",NA,NA,NA
"base64enc","0.1-3","CRAN",NA,NA,NA
"BBmisc","1.13","CRAN",NA,NA,NA
"beepr","1.3","CRAN",NA,NA,NA
"BH","1.84.0-0","CRAN",NA,NA,NA
"bit","4.0.5","CRAN",NA,NA,NA
"bit64","4.0.5","CRAN",NA,NA,NA
"bitops","1.0-7","CRAN",NA,NA,NA
"blob","1.2.4","CRAN",NA,NA,NA
"brew","1.0-10","CRAN",NA,NA,NA
"brio","1.1.5","CRAN",NA,NA,NA
"broom","1.0.6","CRAN",NA,NA,NA
"bslib","0.7.0","CRAN",NA,NA,NA
"cachem","1.0.8","CRAN",NA,NA,NA
"callr","3.7.6","CRAN",NA,NA,NA
"carData","3.0-5","CRAN",NA,NA,NA
"caTools","1.18.2","CRAN",NA,NA,NA
"cellranger","1.1.0","CRAN",NA,NA,NA
"checkmate","2.3.1","CRAN",NA,NA,NA
"cli","3.6.3","CRAN",NA,NA,NA
"clipr","0.8.0","CRAN",NA,NA,NA
"coda","0.19-4.1","CRAN",NA,NA,NA
"collapse","2.0.16","CRAN",NA,NA,NA
"colorspace","2.1-0","CRAN",NA,NA,NA
"commonmark","1.9.1","CRAN",NA,NA,NA
"conflicted","1.2.0","CRAN",NA,NA,NA
"corpcor","1.6.10","CRAN",NA,NA,NA
"corrplot","0.92","CRAN",NA,NA,NA
"cowplot","1.1.3","CRAN",NA,NA,NA
"cpp11","0.5.0","CRAN",NA,NA,NA
"crayon","1.5.2","CRAN",NA,NA,NA
"credentials","2.0.1","CRAN",NA,NA,NA
"CTVsuggest","0.0.0.9000","github","CTVsuggest","DylanDijk","4857501fb8c7390da66e8fc9458325186d1f4a4a"
"curl","5.2.1","CRAN",NA,NA,NA
"cvTools","0.3.3","CRAN",NA,NA,NA
"data.table","1.15.4","CRAN",NA,NA,NA
"DBI","1.2.3","CRAN",NA,NA,NA
"dbplyr","2.5.0","CRAN",NA,NA,NA
"DEoptimR","1.1-3","CRAN",NA,NA,NA
"Deriv","4.1.3","CRAN",NA,NA,NA
"desc","1.4.3","CRAN",NA,NA,NA
"devtools","2.4.5","CRAN",NA,NA,NA
"dfms","0.2.2","CRAN",NA,NA,NA
"diffobj","0.3.5","CRAN",NA,NA,NA
"digest","0.6.35","CRAN",NA,NA,NA
"doBy","4.6.22","CRAN",NA,NA,NA
"doParallel","1.0.17","CRAN",NA,NA,NA
"dotCall64","1.2","CRAN",NA,NA,NA
"downlit","0.4.3","CRAN",NA,NA,NA
"dplyr","1.1.4","CRAN",NA,NA,NA
"dtplyr","1.3.1","CRAN",NA,NA,NA
"ellipsis","0.3.2","CRAN",NA,NA,NA
"evaluate","0.23","CRAN",NA,NA,NA
"fansi","1.0.6","CRAN",NA,NA,NA
"farff","1.1.1","CRAN",NA,NA,NA
"farver","2.1.1","CRAN",NA,NA,NA
"fastmap","1.1.1","CRAN",NA,NA,NA
"fbi","0.7.0","github","fbi","cykbennie","178e800bac22ad5663cada46e0ac71db8539a669"
"fields","16.3","CRAN",NA,NA,NA
"flexiblas","3.4.0","CRAN",NA,NA,NA
"fnets","0.2.0","github","fnets","haeran-cho","89da3c3b593d8252e5ffac9cb865bcc9e88c1fe2"
"fontawesome","0.5.2","CRAN",NA,NA,NA
"forcats","1.0.0","CRAN",NA,NA,NA
"foreach","1.5.2","CRAN",NA,NA,NA
"fs","1.6.4","CRAN",NA,NA,NA
"furrr","0.3.1","CRAN",NA,NA,NA
"future","1.34.0","CRAN",NA,NA,NA
"gargle","1.5.2","CRAN",NA,NA,NA
"generics","0.1.3","CRAN",NA,NA,NA
"gert","2.0.1","CRAN",NA,NA,NA
"ggplot2","3.5.1","CRAN",NA,NA,NA
"ggrepel","0.9.5","CRAN",NA,NA,NA
"ggsci","3.2.0","CRAN",NA,NA,NA
"ggsignif","0.6.4","CRAN",NA,NA,NA
"gh","1.4.1","CRAN",NA,NA,NA
"gitcreds","0.1.2","CRAN",NA,NA,NA
"glmnet","4.1-8","CRAN",NA,NA,NA
"globals","0.16.3","CRAN",NA,NA,NA
"glue","1.8.0","CRAN",NA,NA,NA
"googledrive","2.1.1","CRAN",NA,NA,NA
"googlesheets4","1.1.1","CRAN",NA,NA,NA
