"Package","Version","Source","GitHubRepo","GitHubUser","GitHubSHA"
"adaHuber","1.1","CRAN",NA,NA,NA
"dfms","0.2.2","CRAN",NA,NA,NA
"doParallel","1.0.17","CRAN",NA,NA,NA
"fbi","0.7.0","github","fbi","cykbennie","178e800bac22ad5663cada46e0ac71db8539a669"
"fnets","0.2.0","github","fnets","haeran-cho","89da3c3b593d8252e5ffac9cb865bcc9e88c1fe2"
"ggplot2","3.5.1","CRAN",NA,NA,NA
"murphydiagram","0.12.2","CRAN",NA,NA,NA
"plyr","1.8.9","CRAN",NA,NA,NA
"Rcpp","1.0.13-1","CRAN",NA,NA,NA
"reshape2","1.4.4","CRAN",NA,NA,NA
"sparsevar","0.1.0","CRAN",NA,NA,NA
"stringr","1.5.1","CRAN",NA,NA,NA
"tseries","0.10-58","CRAN",NA,NA,NA
"Matrix","1.7-1","CRAN",NA,NA,NA
